tCu,wCu,tLam,nLam,aln,tsu,freq
5.0,250.0,100.0,8.0,15.0,6.0,1.0
5.0,250.0,100.0,8.0,15.0,6.0,25.75
5.0,250.0,100.0,8.0,15.0,6.0,50.5
5.0,250.0,100.0,8.0,15.0,6.0,75.25
5.0,250.0,100.0,8.0,15.0,6.0,100.0
5.0,250.0,100.0,12.0,20.0,4.0,1.0
5.0,250.0,100.0,12.0,20.0,4.0,25.75
5.0,250.0,100.0,12.0,20.0,4.0,50.5
5.0,250.0,100.0,12.0,20.0,4.0,75.25
5.0,250.0,100.0,12.0,20.0,4.0,100.0
5.0,250.0,350.0,8.0,20.0,4.0,1.0
5.0,250.0,350.0,8.0,20.0,4.0,25.75
5.0,250.0,350.0,8.0,20.0,4.0,50.5
5.0,250.0,350.0,8.0,20.0,4.0,75.25
5.0,250.0,350.0,8.0,20.0,4.0,100.0
25.0,200.0,100.0,16.0,15.0,2.0,1.0
25.0,200.0,100.0,16.0,15.0,2.0,25.75
25.0,200.0,100.0,16.0,15.0,2.0,50.5
25.0,200.0,100.0,16.0,15.0,2.0,75.25
25.0,200.0,100.0,16.0,15.0,2.0,100.0
25.0,250.0,100.0,12.0,20.0,4.0,1.0
25.0,250.0,100.0,12.0,20.0,4.0,25.75
25.0,250.0,100.0,12.0,20.0,4.0,50.5
25.0,250.0,100.0,12.0,20.0,4.0,75.25
25.0,250.0,100.0,12.0,20.0,4.0,100.0
25.0,200.0,100.0,12.0,20.0,6.0,1.0
25.0,200.0,100.0,12.0,20.0,6.0,25.75
25.0,200.0,100.0,12.0,20.0,6.0,50.5
25.0,200.0,100.0,12.0,20.0,6.0,75.25
25.0,200.0,100.0,12.0,20.0,6.0,100.0
30.0,200.0,250.0,12.0,20.0,2.0,1.0
30.0,200.0,250.0,12.0,20.0,2.0,25.75
30.0,200.0,250.0,12.0,20.0,2.0,50.5
30.0,200.0,250.0,12.0,20.0,2.0,75.25
30.0,200.0,250.0,12.0,20.0,2.0,100.0
30.0,250.0,100.0,12.0,15.0,6.0,1.0
30.0,250.0,100.0,12.0,15.0,6.0,25.75
30.0,250.0,100.0,12.0,15.0,6.0,50.5
30.0,250.0,100.0,12.0,15.0,6.0,75.25
30.0,250.0,100.0,12.0,15.0,6.0,100.0
30.0,200.0,350.0,8.0,15.0,4.0,1.0
30.0,200.0,350.0,8.0,15.0,4.0,25.75
30.0,200.0,350.0,8.0,15.0,4.0,50.5
30.0,200.0,350.0,8.0,15.0,4.0,75.25
30.0,200.0,350.0,8.0,15.0,4.0,100.0
35.0,200.0,250.0,12.0,15.0,4.0,1.0
35.0,200.0,250.0,12.0,15.0,4.0,25.75
35.0,200.0,250.0,12.0,15.0,4.0,50.5
35.0,200.0,250.0,12.0,15.0,4.0,75.25
35.0,200.0,250.0,12.0,15.0,4.0,100.0
35.0,250.0,250.0,16.0,20.0,2.0,1.0
35.0,250.0,250.0,16.0,20.0,2.0,25.75
35.0,250.0,250.0,16.0,20.0,2.0,50.5
35.0,250.0,250.0,16.0,20.0,2.0,75.25
35.0,250.0,250.0,16.0,20.0,2.0,100.0
35.0,250.0,350.0,12.0,15.0,6.0,1.0
35.0,250.0,350.0,12.0,15.0,6.0,25.75
35.0,250.0,350.0,12.0,15.0,6.0,50.5
35.0,250.0,350.0,12.0,15.0,6.0,75.25
35.0,250.0,350.0,12.0,15.0,6.0,100.0
40.0,200.0,100.0,16.0,15.0,6.0,1.0
40.0,200.0,100.0,16.0,15.0,6.0,25.75
40.0,200.0,100.0,16.0,15.0,6.0,50.5
40.0,200.0,100.0,16.0,15.0,6.0,75.25
40.0,200.0,100.0,16.0,15.0,6.0,100.0
40.0,200.0,250.0,8.0,15.0,2.0,1.0
40.0,200.0,250.0,8.0,15.0,2.0,25.75
40.0,200.0,250.0,8.0,15.0,2.0,50.5
40.0,200.0,250.0,8.0,15.0,2.0,75.25
40.0,200.0,250.0,8.0,15.0,2.0,100.0
40.0,200.0,100.0,12.0,15.0,4.0,1.0
40.0,200.0,100.0,12.0,15.0,4.0,25.75
40.0,200.0,100.0,12.0,15.0,4.0,50.5
40.0,200.0,100.0,12.0,15.0,4.0,75.25
40.0,200.0,100.0,12.0,15.0,4.0,100.0
20.0,50.0,350.0,8.0,15.0,6.0,1.0
20.0,50.0,350.0,8.0,15.0,6.0,25.75
20.0,50.0,350.0,8.0,15.0,6.0,50.5
20.0,50.0,350.0,8.0,15.0,6.0,75.25
20.0,50.0,350.0,8.0,15.0,6.0,100.0
10.0,50.0,150.0,16.0,15.0,6.0,1.0
10.0,50.0,150.0,16.0,15.0,6.0,25.75
10.0,50.0,150.0,16.0,15.0,6.0,50.5
10.0,50.0,150.0,16.0,15.0,6.0,75.25
10.0,50.0,150.0,16.0,15.0,6.0,100.0
15.0,50.0,350.0,16.0,15.0,6.0,1.0
15.0,50.0,350.0,16.0,15.0,6.0,25.75
15.0,50.0,350.0,16.0,15.0,6.0,50.5
15.0,50.0,350.0,16.0,15.0,6.0,75.25
15.0,50.0,350.0,16.0,15.0,6.0,100.0
10.0,100.0,250.0,12.0,15.0,2.0,1.0
10.0,100.0,250.0,12.0,15.0,2.0,25.75
10.0,100.0,250.0,12.0,15.0,2.0,50.5
10.0,100.0,250.0,12.0,15.0,2.0,75.25
10.0,100.0,250.0,12.0,15.0,2.0,100.0
20.0,100.0,150.0,16.0,20.0,4.0,1.0
20.0,100.0,150.0,16.0,20.0,4.0,25.75
20.0,100.0,150.0,16.0,20.0,4.0,50.5
20.0,100.0,150.0,16.0,20.0,4.0,75.25
20.0,100.0,150.0,16.0,20.0,4.0,100.0
20.0,100.0,350.0,8.0,15.0,6.0,1.0
20.0,100.0,350.0,8.0,15.0,6.0,25.75
20.0,100.0,350.0,8.0,15.0,6.0,50.5
20.0,100.0,350.0,8.0,15.0,6.0,75.25
20.0,100.0,350.0,8.0,15.0,6.0,100.0
20.0,150.0,100.0,8.0,15.0,6.0,1.0
20.0,150.0,100.0,8.0,15.0,6.0,25.75
20.0,150.0,100.0,8.0,15.0,6.0,50.5
20.0,150.0,100.0,8.0,15.0,6.0,75.25
20.0,150.0,100.0,8.0,15.0,6.0,100.0
15.0,150.0,100.0,16.0,15.0,6.0,1.0
15.0,150.0,100.0,16.0,15.0,6.0,25.75
15.0,150.0,100.0,16.0,15.0,6.0,50.5
15.0,150.0,100.0,16.0,15.0,6.0,75.25
15.0,150.0,100.0,16.0,15.0,6.0,100.0
15.0,150.0,350.0,16.0,15.0,6.0,1.0
15.0,150.0,350.0,16.0,15.0,6.0,25.75
15.0,150.0,350.0,16.0,15.0,6.0,50.5
15.0,150.0,350.0,16.0,15.0,6.0,75.25
15.0,150.0,350.0,16.0,15.0,6.0,100.0
10.0,300.0,150.0,16.0,20.0,2.0,1.0
10.0,300.0,150.0,16.0,20.0,2.0,25.75
10.0,300.0,150.0,16.0,20.0,2.0,50.5
10.0,300.0,150.0,16.0,20.0,2.0,75.25
10.0,300.0,150.0,16.0,20.0,2.0,100.0
20.0,300.0,250.0,8.0,20.0,2.0,1.0
20.0,300.0,250.0,8.0,20.0,2.0,25.75
20.0,300.0,250.0,8.0,20.0,2.0,50.5
20.0,300.0,250.0,8.0,20.0,2.0,75.25
20.0,300.0,250.0,8.0,20.0,2.0,100.0
15.0,300.0,150.0,16.0,20.0,2.0,1.0
15.0,300.0,150.0,16.0,20.0,2.0,25.75
15.0,300.0,150.0,16.0,20.0,2.0,50.5
15.0,300.0,150.0,16.0,20.0,2.0,75.25
15.0,300.0,150.0,16.0,20.0,2.0,100.0
15.0,350.0,100.0,12.0,20.0,2.0,1.0
15.0,350.0,100.0,12.0,20.0,2.0,25.75
15.0,350.0,100.0,12.0,20.0,2.0,50.5
15.0,350.0,100.0,12.0,20.0,2.0,75.25
15.0,350.0,100.0,12.0,20.0,2.0,100.0
15.0,350.0,150.0,8.0,15.0,4.0,1.0
15.0,350.0,150.0,8.0,15.0,4.0,25.75
15.0,350.0,150.0,8.0,15.0,4.0,50.5
15.0,350.0,150.0,8.0,15.0,4.0,75.25
15.0,350.0,150.0,8.0,15.0,4.0,100.0
20.0,350.0,150.0,8.0,15.0,2.0,1.0
20.0,350.0,150.0,8.0,15.0,2.0,25.75
20.0,350.0,150.0,8.0,15.0,2.0,50.5
20.0,350.0,150.0,8.0,15.0,2.0,75.25
20.0,350.0,150.0,8.0,15.0,2.0,100.0
10.0,400.0,350.0,16.0,15.0,4.0,1.0
10.0,400.0,350.0,16.0,15.0,4.0,25.75
10.0,400.0,350.0,16.0,15.0,4.0,50.5
10.0,400.0,350.0,16.0,15.0,4.0,75.25
10.0,400.0,350.0,16.0,15.0,4.0,100.0
10.0,400.0,250.0,16.0,20.0,4.0,1.0
10.0,400.0,250.0,16.0,20.0,4.0,25.75
10.0,400.0,250.0,16.0,20.0,4.0,50.5
10.0,400.0,250.0,16.0,20.0,4.0,75.25
10.0,400.0,250.0,16.0,20.0,4.0,100.0
15.0,400.0,150.0,8.0,15.0,4.0,1.0
15.0,400.0,150.0,8.0,15.0,4.0,25.75
15.0,400.0,150.0,8.0,15.0,4.0,50.5
15.0,400.0,150.0,8.0,15.0,4.0,75.25
15.0,400.0,150.0,8.0,15.0,4.0,100.0
10.0,450.0,150.0,8.0,15.0,4.0,1.0
10.0,450.0,150.0,8.0,15.0,4.0,25.75
10.0,450.0,150.0,8.0,15.0,4.0,50.5
10.0,450.0,150.0,8.0,15.0,4.0,75.25
10.0,450.0,150.0,8.0,15.0,4.0,100.0
15.0,450.0,350.0,8.0,15.0,2.0,1.0
15.0,450.0,350.0,8.0,15.0,2.0,25.75
15.0,450.0,350.0,8.0,15.0,2.0,50.5
15.0,450.0,350.0,8.0,15.0,2.0,75.25
15.0,450.0,350.0,8.0,15.0,2.0,100.0
20.0,450.0,350.0,8.0,15.0,6.0,1.0
20.0,450.0,350.0,8.0,15.0,6.0,25.75
20.0,450.0,350.0,8.0,15.0,6.0,50.5
20.0,450.0,350.0,8.0,15.0,6.0,75.25
20.0,450.0,350.0,8.0,15.0,6.0,100.0
20.0,500.0,150.0,12.0,20.0,2.0,1.0
20.0,500.0,150.0,12.0,20.0,2.0,25.75
20.0,500.0,150.0,12.0,20.0,2.0,50.5
20.0,500.0,150.0,12.0,20.0,2.0,75.25
20.0,500.0,150.0,12.0,20.0,2.0,100.0
15.0,500.0,100.0,8.0,20.0,2.0,1.0
15.0,500.0,100.0,8.0,20.0,2.0,25.75
15.0,500.0,100.0,8.0,20.0,2.0,50.5
15.0,500.0,100.0,8.0,20.0,2.0,75.25
15.0,500.0,100.0,8.0,20.0,2.0,100.0
20.0,500.0,250.0,8.0,15.0,6.0,1.0
20.0,500.0,250.0,8.0,15.0,6.0,25.75
20.0,500.0,250.0,8.0,15.0,6.0,50.5
20.0,500.0,250.0,8.0,15.0,6.0,75.25
20.0,500.0,250.0,8.0,15.0,6.0,100.0
15.0,250.0,50.0,16.0,15.0,4.0,1.0
15.0,250.0,50.0,16.0,15.0,4.0,25.75
15.0,250.0,50.0,16.0,15.0,4.0,50.5
15.0,250.0,50.0,16.0,15.0,4.0,75.25
15.0,250.0,50.0,16.0,15.0,4.0,100.0
15.0,200.0,50.0,16.0,15.0,2.0,1.0
15.0,200.0,50.0,16.0,15.0,2.0,25.75
15.0,200.0,50.0,16.0,15.0,2.0,50.5
15.0,200.0,50.0,16.0,15.0,2.0,75.25
15.0,200.0,50.0,16.0,15.0,2.0,100.0
10.0,250.0,50.0,16.0,20.0,4.0,1.0
10.0,250.0,50.0,16.0,20.0,4.0,25.75
10.0,250.0,50.0,16.0,20.0,4.0,50.5
10.0,250.0,50.0,16.0,20.0,4.0,75.25
10.0,250.0,50.0,16.0,20.0,4.0,100.0
20.0,200.0,200.0,16.0,20.0,2.0,1.0
20.0,200.0,200.0,16.0,20.0,2.0,25.75
20.0,200.0,200.0,16.0,20.0,2.0,50.5
20.0,200.0,200.0,16.0,20.0,2.0,75.25
20.0,200.0,200.0,16.0,20.0,2.0,100.0
10.0,200.0,200.0,12.0,15.0,6.0,1.0
10.0,200.0,200.0,12.0,15.0,6.0,25.75
10.0,200.0,200.0,12.0,15.0,6.0,50.5
10.0,200.0,200.0,12.0,15.0,6.0,75.25
10.0,200.0,200.0,12.0,15.0,6.0,100.0
20.0,250.0,200.0,8.0,20.0,2.0,1.0
20.0,250.0,200.0,8.0,20.0,2.0,25.75
20.0,250.0,200.0,8.0,20.0,2.0,50.5
20.0,250.0,200.0,8.0,20.0,2.0,75.25
20.0,250.0,200.0,8.0,20.0,2.0,100.0
20.0,200.0,300.0,8.0,15.0,4.0,1.0
20.0,200.0,300.0,8.0,15.0,4.0,25.75
20.0,200.0,300.0,8.0,15.0,4.0,50.5
20.0,200.0,300.0,8.0,15.0,4.0,75.25
20.0,200.0,300.0,8.0,15.0,4.0,100.0
20.0,250.0,300.0,8.0,15.0,6.0,1.0
20.0,250.0,300.0,8.0,15.0,6.0,25.75
20.0,250.0,300.0,8.0,15.0,6.0,50.5
20.0,250.0,300.0,8.0,15.0,6.0,75.25
20.0,250.0,300.0,8.0,15.0,6.0,100.0
20.0,250.0,300.0,16.0,15.0,6.0,1.0
20.0,250.0,300.0,16.0,15.0,6.0,25.75
20.0,250.0,300.0,16.0,15.0,6.0,50.5
20.0,250.0,300.0,16.0,15.0,6.0,75.25
20.0,250.0,300.0,16.0,15.0,6.0,100.0
10.0,200.0,400.0,16.0,15.0,4.0,1.0
10.0,200.0,400.0,16.0,15.0,4.0,25.75
10.0,200.0,400.0,16.0,15.0,4.0,50.5
10.0,200.0,400.0,16.0,15.0,4.0,75.25
10.0,200.0,400.0,16.0,15.0,4.0,100.0
10.0,250.0,400.0,16.0,15.0,6.0,1.0
10.0,250.0,400.0,16.0,15.0,6.0,25.75
10.0,250.0,400.0,16.0,15.0,6.0,50.5
10.0,250.0,400.0,16.0,15.0,6.0,75.25
10.0,250.0,400.0,16.0,15.0,6.0,100.0
15.0,250.0,400.0,16.0,20.0,6.0,1.0
15.0,250.0,400.0,16.0,20.0,6.0,25.75
15.0,250.0,400.0,16.0,20.0,6.0,50.5
15.0,250.0,400.0,16.0,20.0,6.0,75.25
15.0,250.0,400.0,16.0,20.0,6.0,100.0
10.0,200.0,450.0,8.0,15.0,6.0,1.0
10.0,200.0,450.0,8.0,15.0,6.0,25.75
10.0,200.0,450.0,8.0,15.0,6.0,50.5
10.0,200.0,450.0,8.0,15.0,6.0,75.25
10.0,200.0,450.0,8.0,15.0,6.0,100.0
15.0,250.0,450.0,16.0,20.0,6.0,1.0
15.0,250.0,450.0,16.0,20.0,6.0,25.75
15.0,250.0,450.0,16.0,20.0,6.0,50.5
15.0,250.0,450.0,16.0,20.0,6.0,75.25
15.0,250.0,450.0,16.0,20.0,6.0,100.0
10.0,200.0,450.0,16.0,15.0,4.0,1.0
10.0,200.0,450.0,16.0,15.0,4.0,25.75
10.0,200.0,450.0,16.0,15.0,4.0,50.5
10.0,200.0,450.0,16.0,15.0,4.0,75.25
10.0,200.0,450.0,16.0,15.0,4.0,100.0
20.0,200.0,500.0,12.0,20.0,4.0,1.0
20.0,200.0,500.0,12.0,20.0,4.0,25.75
20.0,200.0,500.0,12.0,20.0,4.0,50.5
20.0,200.0,500.0,12.0,20.0,4.0,75.25
20.0,200.0,500.0,12.0,20.0,4.0,100.0
20.0,250.0,500.0,16.0,20.0,6.0,1.0
20.0,250.0,500.0,16.0,20.0,6.0,25.75
20.0,250.0,500.0,16.0,20.0,6.0,50.5
