tCu,wCu,tLam,nLam,aln,tsu,freq
20.0,250.0,500.0,16.0,20.0,6.0,75.25
20.0,250.0,500.0,16.0,20.0,6.0,100.0
15.0,200.0,500.0,8.0,15.0,2.0,1.0
15.0,200.0,500.0,8.0,15.0,2.0,25.75
15.0,200.0,500.0,8.0,15.0,2.0,50.5
15.0,200.0,500.0,8.0,15.0,2.0,75.25
15.0,200.0,500.0,8.0,15.0,2.0,100.0
10.0,250.0,550.0,8.0,15.0,6.0,1.0
10.0,250.0,550.0,8.0,15.0,6.0,25.75
10.0,250.0,550.0,8.0,15.0,6.0,50.5
10.0,250.0,550.0,8.0,15.0,6.0,75.25
10.0,250.0,550.0,8.0,15.0,6.0,100.0
20.0,250.0,550.0,12.0,20.0,2.0,1.0
20.0,250.0,550.0,12.0,20.0,2.0,25.75
20.0,250.0,550.0,12.0,20.0,2.0,50.5
20.0,250.0,550.0,12.0,20.0,2.0,75.25
20.0,250.0,550.0,12.0,20.0,2.0,100.0
10.0,200.0,550.0,16.0,20.0,2.0,1.0
10.0,200.0,550.0,16.0,20.0,2.0,25.75
10.0,200.0,550.0,16.0,20.0,2.0,50.5
10.0,200.0,550.0,16.0,20.0,2.0,75.25
10.0,200.0,550.0,16.0,20.0,2.0,100.0
15.0,200.0,600.0,16.0,15.0,6.0,1.0
15.0,200.0,600.0,16.0,15.0,6.0,25.75
15.0,200.0,600.0,16.0,15.0,6.0,50.5
15.0,200.0,600.0,16.0,15.0,6.0,75.25
15.0,200.0,600.0,16.0,15.0,6.0,100.0
15.0,250.0,600.0,12.0,20.0,6.0,1.0
15.0,250.0,600.0,12.0,20.0,6.0,25.75
15.0,250.0,600.0,12.0,20.0,6.0,50.5
15.0,250.0,600.0,12.0,20.0,6.0,75.25
15.0,250.0,600.0,12.0,20.0,6.0,100.0
20.0,200.0,600.0,8.0,15.0,6.0,1.0
20.0,200.0,600.0,8.0,15.0,6.0,25.75
20.0,200.0,600.0,8.0,15.0,6.0,50.5
20.0,200.0,600.0,8.0,15.0,6.0,75.25
20.0,200.0,600.0,8.0,15.0,6.0,100.0
20.0,200.0,650.0,8.0,20.0,2.0,1.0
20.0,200.0,650.0,8.0,20.0,2.0,25.75
20.0,200.0,650.0,8.0,20.0,2.0,50.5
20.0,200.0,650.0,8.0,20.0,2.0,75.25
20.0,200.0,650.0,8.0,20.0,2.0,100.0
10.0,200.0,650.0,16.0,20.0,4.0,1.0
10.0,200.0,650.0,16.0,20.0,4.0,25.75
10.0,200.0,650.0,16.0,20.0,4.0,50.5
10.0,200.0,650.0,16.0,20.0,4.0,75.25
10.0,200.0,650.0,16.0,20.0,4.0,100.0
15.0,200.0,650.0,8.0,15.0,2.0,1.0
15.0,200.0,650.0,8.0,15.0,2.0,25.75
15.0,200.0,650.0,8.0,15.0,2.0,50.5
15.0,200.0,650.0,8.0,15.0,2.0,75.25
15.0,200.0,650.0,8.0,15.0,2.0,100.0
10.0,200.0,700.0,8.0,15.0,6.0,1.0
10.0,200.0,700.0,8.0,15.0,6.0,25.75
10.0,200.0,700.0,8.0,15.0,6.0,50.5
10.0,200.0,700.0,8.0,15.0,6.0,75.25
10.0,200.0,700.0,8.0,15.0,6.0,100.0
10.0,200.0,700.0,12.0,20.0,2.0,1.0
10.0,200.0,700.0,12.0,20.0,2.0,25.75
10.0,200.0,700.0,12.0,20.0,2.0,50.5
10.0,200.0,700.0,12.0,20.0,2.0,75.25
10.0,200.0,700.0,12.0,20.0,2.0,100.0
20.0,250.0,700.0,12.0,20.0,6.0,1.0
20.0,250.0,700.0,12.0,20.0,6.0,25.75
20.0,250.0,700.0,12.0,20.0,6.0,50.5
20.0,250.0,700.0,12.0,20.0,6.0,75.25
20.0,250.0,700.0,12.0,20.0,6.0,100.0
10.0,200.0,100.0,4.0,20.0,2.0,1.0
10.0,200.0,100.0,4.0,20.0,2.0,25.75
10.0,200.0,100.0,4.0,20.0,2.0,50.5
10.0,200.0,100.0,4.0,20.0,2.0,75.25
10.0,200.0,100.0,4.0,20.0,2.0,100.0
10.0,250.0,100.0,4.0,15.0,4.0,1.0
10.0,250.0,100.0,4.0,15.0,4.0,25.75
10.0,250.0,100.0,4.0,15.0,4.0,50.5
10.0,250.0,100.0,4.0,15.0,4.0,75.25
10.0,250.0,100.0,4.0,15.0,4.0,100.0
15.0,250.0,350.0,4.0,15.0,2.0,1.0
15.0,250.0,350.0,4.0,15.0,2.0,25.75
15.0,250.0,350.0,4.0,15.0,2.0,50.5
15.0,250.0,350.0,4.0,15.0,2.0,75.25
15.0,250.0,350.0,4.0,15.0,2.0,100.0
15.0,200.0,100.0,20.0,15.0,4.0,1.0
15.0,200.0,100.0,20.0,15.0,4.0,25.75
15.0,200.0,100.0,20.0,15.0,4.0,50.5
15.0,200.0,100.0,20.0,15.0,4.0,75.25
15.0,200.0,100.0,20.0,15.0,4.0,100.0
20.0,200.0,150.0,20.0,20.0,2.0,1.0
20.0,200.0,150.0,20.0,20.0,2.0,25.75
20.0,200.0,150.0,20.0,20.0,2.0,50.5
20.0,200.0,150.0,20.0,20.0,2.0,75.25
20.0,200.0,150.0,20.0,20.0,2.0,100.0
10.0,200.0,350.0,20.0,15.0,2.0,1.0
10.0,200.0,350.0,20.0,15.0,2.0,25.75
10.0,200.0,350.0,20.0,15.0,2.0,50.5
10.0,200.0,350.0,20.0,15.0,2.0,75.25
10.0,200.0,350.0,20.0,15.0,2.0,100.0
20.0,200.0,250.0,24.0,20.0,2.0,1.0
20.0,200.0,250.0,24.0,20.0,2.0,25.75
20.0,200.0,250.0,24.0,20.0,2.0,50.5
20.0,200.0,250.0,24.0,20.0,2.0,75.25
20.0,200.0,250.0,24.0,20.0,2.0,100.0
10.0,200.0,350.0,24.0,15.0,2.0,1.0
10.0,200.0,350.0,24.0,15.0,2.0,25.75
10.0,200.0,350.0,24.0,15.0,2.0,50.5
10.0,200.0,350.0,24.0,15.0,2.0,75.25
10.0,200.0,350.0,24.0,15.0,2.0,100.0
15.0,200.0,250.0,24.0,20.0,2.0,1.0
15.0,200.0,250.0,24.0,20.0,2.0,25.75
15.0,200.0,250.0,24.0,20.0,2.0,50.5
15.0,200.0,250.0,24.0,20.0,2.0,75.25
15.0,200.0,250.0,24.0,20.0,2.0,100.0
10.0,250.0,350.0,28.0,15.0,4.0,1.0
10.0,250.0,350.0,28.0,15.0,4.0,25.75
10.0,250.0,350.0,28.0,15.0,4.0,50.5
10.0,250.0,350.0,28.0,15.0,4.0,75.25
10.0,250.0,350.0,28.0,15.0,4.0,100.0
20.0,200.0,150.0,28.0,15.0,6.0,1.0
20.0,200.0,150.0,28.0,15.0,6.0,25.75
20.0,200.0,150.0,28.0,15.0,6.0,50.5
20.0,200.0,150.0,28.0,15.0,6.0,75.25
20.0,200.0,150.0,28.0,15.0,6.0,100.0
20.0,200.0,250.0,28.0,15.0,2.0,1.0
20.0,200.0,250.0,28.0,15.0,2.0,25.75
20.0,200.0,250.0,28.0,15.0,2.0,50.5
20.0,200.0,250.0,28.0,15.0,2.0,75.25
20.0,200.0,250.0,28.0,15.0,2.0,100.0
20.0,200.0,150.0,32.0,20.0,2.0,1.0
20.0,200.0,150.0,32.0,20.0,2.0,25.75
20.0,200.0,150.0,32.0,20.0,2.0,50.5
20.0,200.0,150.0,32.0,20.0,2.0,75.25
20.0,200.0,150.0,32.0,20.0,2.0,100.0
15.0,250.0,100.0,32.0,15.0,6.0,1.0
15.0,250.0,100.0,32.0,15.0,6.0,25.75
15.0,250.0,100.0,32.0,15.0,6.0,50.5
15.0,250.0,100.0,32.0,15.0,6.0,75.25
15.0,250.0,100.0,32.0,15.0,6.0,100.0
15.0,250.0,250.0,32.0,15.0,6.0,1.0
15.0,250.0,250.0,32.0,15.0,6.0,25.75
15.0,250.0,250.0,32.0,15.0,6.0,50.5
15.0,250.0,250.0,32.0,15.0,6.0,75.25
15.0,250.0,250.0,32.0,15.0,6.0,100.0
15.0,250.0,250.0,8.0,5.0,4.0,1.0
15.0,250.0,250.0,8.0,5.0,4.0,25.75
15.0,250.0,250.0,8.0,5.0,4.0,50.5
15.0,250.0,250.0,8.0,5.0,4.0,75.25
15.0,250.0,250.0,8.0,5.0,4.0,100.0
15.0,250.0,150.0,16.0,5.0,6.0,1.0
15.0,250.0,150.0,16.0,5.0,6.0,25.75
15.0,250.0,150.0,16.0,5.0,6.0,50.5
15.0,250.0,150.0,16.0,5.0,6.0,75.25
15.0,250.0,150.0,16.0,5.0,6.0,100.0
10.0,250.0,350.0,8.0,5.0,6.0,1.0
10.0,250.0,350.0,8.0,5.0,6.0,25.75
10.0,250.0,350.0,8.0,5.0,6.0,50.5
10.0,250.0,350.0,8.0,5.0,6.0,75.25
10.0,250.0,350.0,8.0,5.0,6.0,100.0
20.0,200.0,350.0,16.0,10.0,4.0,1.0
20.0,200.0,350.0,16.0,10.0,4.0,25.75
20.0,200.0,350.0,16.0,10.0,4.0,50.5
20.0,200.0,350.0,16.0,10.0,4.0,75.25
20.0,200.0,350.0,16.0,10.0,4.0,100.0
15.0,200.0,150.0,8.0,10.0,2.0,1.0
15.0,200.0,150.0,8.0,10.0,2.0,25.75
15.0,200.0,150.0,8.0,10.0,2.0,50.5
15.0,200.0,150.0,8.0,10.0,2.0,75.25
15.0,200.0,150.0,8.0,10.0,2.0,100.0
20.0,250.0,250.0,12.0,10.0,4.0,1.0
20.0,250.0,250.0,12.0,10.0,4.0,25.75
20.0,250.0,250.0,12.0,10.0,4.0,50.5
20.0,250.0,250.0,12.0,10.0,4.0,75.25
20.0,250.0,250.0,12.0,10.0,4.0,100.0
20.0,200.0,250.0,8.0,25.0,6.0,1.0
20.0,200.0,250.0,8.0,25.0,6.0,25.75
20.0,200.0,250.0,8.0,25.0,6.0,50.5
20.0,200.0,250.0,8.0,25.0,6.0,75.25
20.0,200.0,250.0,8.0,25.0,6.0,100.0
10.0,200.0,150.0,16.0,25.0,4.0,1.0
10.0,200.0,150.0,16.0,25.0,4.0,25.75
10.0,200.0,150.0,16.0,25.0,4.0,50.5
10.0,200.0,150.0,16.0,25.0,4.0,75.25
10.0,200.0,150.0,16.0,25.0,4.0,100.0
20.0,250.0,100.0,8.0,25.0,4.0,1.0
20.0,250.0,100.0,8.0,25.0,4.0,25.75
20.0,250.0,100.0,8.0,25.0,4.0,50.5
20.0,250.0,100.0,8.0,25.0,4.0,75.25
20.0,250.0,100.0,8.0,25.0,4.0,100.0
10.0,250.0,100.0,12.0,30.0,4.0,1.0
10.0,250.0,100.0,12.0,30.0,4.0,25.75
10.0,250.0,100.0,12.0,30.0,4.0,50.5
10.0,250.0,100.0,12.0,30.0,4.0,75.25
10.0,250.0,100.0,12.0,30.0,4.0,100.0
20.0,250.0,250.0,8.0,30.0,4.0,1.0
20.0,250.0,250.0,8.0,30.0,4.0,25.75
20.0,250.0,250.0,8.0,30.0,4.0,50.5
20.0,250.0,250.0,8.0,30.0,4.0,75.25
20.0,250.0,250.0,8.0,30.0,4.0,100.0
15.0,200.0,150.0,16.0,30.0,6.0,1.0
15.0,200.0,150.0,16.0,30.0,6.0,25.75
15.0,200.0,150.0,16.0,30.0,6.0,50.5
15.0,200.0,150.0,16.0,30.0,6.0,75.25
15.0,200.0,150.0,16.0,30.0,6.0,100.0
15.0,200.0,150.0,16.0,35.0,4.0,1.0
15.0,200.0,150.0,16.0,35.0,4.0,25.75
15.0,200.0,150.0,16.0,35.0,4.0,50.5
15.0,200.0,150.0,16.0,35.0,4.0,75.25
15.0,200.0,150.0,16.0,35.0,4.0,100.0
10.0,250.0,250.0,16.0,35.0,6.0,1.0
10.0,250.0,250.0,16.0,35.0,6.0,25.75
10.0,250.0,250.0,16.0,35.0,6.0,50.5
10.0,250.0,250.0,16.0,35.0,6.0,75.25
10.0,250.0,250.0,16.0,35.0,6.0,100.0
15.0,200.0,100.0,12.0,35.0,4.0,1.0
15.0,200.0,100.0,12.0,35.0,4.0,25.75
15.0,200.0,100.0,12.0,35.0,4.0,50.5
15.0,200.0,100.0,12.0,35.0,4.0,75.25
15.0,200.0,100.0,12.0,35.0,4.0,100.0
20.0,200.0,250.0,8.0,40.0,6.0,1.0
20.0,200.0,250.0,8.0,40.0,6.0,25.75
20.0,200.0,250.0,8.0,40.0,6.0,50.5
20.0,200.0,250.0,8.0,40.0,6.0,75.25
20.0,200.0,250.0,8.0,40.0,6.0,100.0
15.0,200.0,100.0,12.0,40.0,6.0,1.0
15.0,200.0,100.0,12.0,40.0,6.0,25.75
15.0,200.0,100.0,12.0,40.0,6.0,50.5
15.0,200.0,100.0,12.0,40.0,6.0,75.25
15.0,200.0,100.0,12.0,40.0,6.0,100.0
15.0,200.0,250.0,12.0,40.0,4.0,1.0
15.0,200.0,250.0,12.0,40.0,4.0,25.75
15.0,200.0,250.0,12.0,40.0,4.0,50.5
15.0,200.0,250.0,12.0,40.0,4.0,75.25
15.0,200.0,250.0,12.0,40.0,4.0,100.0
15.0,200.0,250.0,8.0,20.0,8.0,1.0
15.0,200.0,250.0,8.0,20.0,8.0,25.75
15.0,200.0,250.0,8.0,20.0,8.0,50.5
15.0,200.0,250.0,8.0,20.0,8.0,75.25
15.0,200.0,250.0,8.0,20.0,8.0,100.0
20.0,250.0,150.0,12.0,15.0,8.0,1.0
20.0,250.0,150.0,12.0,15.0,8.0,25.75
20.0,250.0,150.0,12.0,15.0,8.0,50.5
20.0,250.0,150.0,12.0,15.0,8.0,75.25
20.0,250.0,150.0,12.0,15.0,8.0,100.0
15.0,200.0,100.0,8.0,20.0,8.0,1.0
15.0,200.0,100.0,8.0,20.0,8.0,25.75
15.0,200.0,100.0,8.0,20.0,8.0,50.5
15.0,200.0,100.0,8.0,20.0,8.0,75.25
15.0,200.0,100.0,8.0,20.0,8.0,100.0
20.0,250.0,350.0,16.0,15.0,10.0,1.0
20.0,250.0,350.0,16.0,15.0,10.0,25.75
20.0,250.0,350.0,16.0,15.0,10.0,50.5
20.0,250.0,350.0,16.0,15.0,10.0,75.25
20.0,250.0,350.0,16.0,15.0,10.0,100.0
10.0,250.0,250.0,12.0,20.0,10.0,1.0
10.0,250.0,250.0,12.0,20.0,10.0,25.75
10.0,250.0,250.0,12.0,20.0,10.0,50.5
10.0,250.0,250.0,12.0,20.0,10.0,75.25
10.0,250.0,250.0,12.0,20.0,10.0,100.0
20.0,200.0,100.0,16.0,15.0,10.0,1.0
20.0,200.0,100.0,16.0,15.0,10.0,25.75
20.0,200.0,100.0,16.0,15.0,10.0,50.5
20.0,200.0,100.0,16.0,15.0,10.0,75.25
20.0,200.0,100.0,16.0,15.0,10.0,100.0
15.0,200.0,350.0,12.0,20.0,12.0,1.0
15.0,200.0,350.0,12.0,20.0,12.0,25.75
15.0,200.0,350.0,12.0,20.0,12.0,50.5
15.0,200.0,350.0,12.0,20.0,12.0,75.25
15.0,200.0,350.0,12.0,20.0,12.0,100.0
20.0,250.0,250.0,12.0,20.0,12.0,1.0
20.0,250.0,250.0,12.0,20.0,12.0,25.75
20.0,250.0,250.0,12.0,20.0,12.0,50.5
20.0,250.0,250.0,12.0,20.0,12.0,75.25
20.0,250.0,250.0,12.0,20.0,12.0,100.0
20.0,250.0,150.0,12.0,15.0,12.0,1.0
20.0,250.0,150.0,12.0,15.0,12.0,25.75
20.0,250.0,150.0,12.0,15.0,12.0,50.5
20.0,250.0,150.0,12.0,15.0,12.0,75.25
20.0,250.0,150.0,12.0,15.0,12.0,100.0
